User_ID,Position,Experience_Level,Expertise,Primary_Language,Secondary_Languages,Gender,Industry,Education,Years_of_Experience,Availability,Location,Mentoring_Preferences,Communication_Methods
Mentor_26,Full-Stack Developer,Lead,"['Django', 'Vue.js', 'Angular']",JavaScript,"['GraphQL', 'TypeScript', 'CSS']",Prefer not to say,Enterprise Software,Masters,14,Full-time,Thomasville,Technical Skills,Email
Mentor_27,Technical Support Specialist,Lead,"['Remote Support', 'Customer Service']",None,[],Non-binary,Cloud Computing,Masters,18,Freelance,Nortonfurt,Project Collaboration,Video Calls
Mentor_28,Blockchain Developer,Senior,"['Blockchain Architecture', 'Decentralized Applications']",JavaScript,"['C++', 'Go', 'Python']",Prefer not to say,Web Development,Masters,10,Part-time,Lake Hannahtown,Technical Skills,Chat
Mentor_29,Blockchain Developer,Mid,['Consensus Algorithms'],JavaScript,"['Rust', 'Java', 'C++']",Male,Biotechnology,Masters,5,Full-time,Rosalesfort,Career Guidance,Chat
Mentor_30,Digital Marketing Specialist,Lead,['Content Marketing'],None,"['CSS', 'SQL', 'HTML']",Prefer not to say,Manufacturing,Bachelors,14,Freelance,Nicolefort,Technical Skills,Video Calls
Mentor_31,IT Consultant,Lead,['Business Analysis'],None,[],Prefer not to say,Telecommunications,Bachelors,14,Freelance,Jesusfurt,Technical Skills,Email
Mentor_32,AR/VR Content Creator,Lead,"['Simulation', 'Interactive Design']",C#,"['JavaScript', 'CSS', 'Java']",Prefer not to say,Energy,Bachelors,20,Freelance,North Samantha,Technical Skills,Video Calls
Mentor_33,Network Engineer,Mid,"['Routing Protocols', 'Firewall Management', 'Network Security']",None,[],Female,Automotive,Masters,6,Part-time,Port Taylorhaven,Career Guidance,Email
Mentor_34,Machine Learning Engineer,Mid,['TensorFlow'],Python,"['Julia', 'C++', 'Scala']",Prefer not to say,Manufacturing,High School,6,Full-time,Charleshaven,Technical Skills,Chat
Mentor_35,Back-End Developer,Lead,"['Spring', 'Ruby on Rails']",Ruby,"['C#', 'Perl', 'SQL']",Female,Transportation,Bachelors,19,Part-time,Smithborough,Technical Skills,Email
Mentor_36,UI/UX Researcher,Lead,"['User Personas', 'Usability Testing', 'Customer Journey Mapping']",None,[],Prefer not to say,Web Development,High School,13,Freelance,South Laurafurt,Career Guidance,Video Calls
Mentor_37,System Administrator,Mid,['Virtualization'],Bash,"['Perl', 'Go', 'Ruby']",Non-binary,Manufacturing,Masters,7,Full-time,North Samantha,Career Guidance,Chat
Mentor_38,Cryptography Engineer,Senior,['Encryption Algorithms'],C,"['C++', 'Go', 'Swift']",Female,Web Development,Bachelors,9,Full-time,New Jessica,Technical Skills,Chat
Mentor_39,Cloud Engineer,Senior,"['Google Cloud Platform', 'Azure']",Java,"['PHP', 'Clojure', 'Scala']",Female,Biotechnology,High School,8,Freelance,Robertsfurt,Technical Skills,Chat
Mentor_40,UI/UX Researcher,Senior,"['Usability Testing', 'User Research', 'A/B Testing']",None,[],Male,Biotechnology,High School,9,Freelance,New Wyatt,Technical Skills,Chat
Mentor_41,Game Designer,Mid,"['Storyboarding', 'Level Design']",None,"['C#', 'JavaScript', 'HTML5']",Prefer not to say,Cybersecurity,PhD,6,Full-time,Tylertown,Project Collaboration,Chat
Mentor_42,Web Designer,Lead,"['Graphic Design', 'Wireframing', 'UI/UX Design']",CSS,"['Ruby', 'TypeScript', 'Python']",Non-binary,Energy,Bachelors,14,Part-time,Amandashire,Project Collaboration,Chat
Mentor_43,UI/UX Researcher,Lead,['User Personas'],None,[],Prefer not to say,Enterprise Software,Masters,15,Part-time,Lake Thomas,Technical Skills,Chat
Mentor_44,Web Designer,Mid,['SEO Optimization'],HTML,"['TypeScript', 'PHP', 'JavaScript']",Prefer not to say,Transportation,PhD,5,Full-time,Annashire,Technical Skills,Email
Mentor_45,IT Consultant,Mid,"['Change Management', 'IT Governance']",None,[],Prefer not to say,Media,Masters,6,Freelance,Robertshire,Technical Skills,Video Calls
Mentor_46,Database Administrator,Lead,['Security Management'],SQL,"['MySQL', 'PostgreSQL', 'Oracle']",Female,Enterprise Software,PhD,15,Part-time,Lake Daniel,Project Collaboration,Chat
Mentor_47,SEO Specialist,Mid,"['On-Page SEO', 'Off-Page SEO']",None,"['CSS', 'JavaScript', 'HTML']",Non-binary,Data Science,High School,5,Freelance,Rachelmouth,Project Collaboration,Email
Mentor_48,ERP Consultant,Mid,"['User Training', 'Change Management']",None,"['Java', 'SQL', 'Python']",Non-binary,Transportation,High School,4,Full-time,West Samanthaport,Technical Skills,Email
Mentor_49,Data Engineer,Senior,['ETL Processes'],Python,"['Scala', 'Go', 'Java']",Female,Retail,PhD,11,Part-time,North Dylanchester,Project Collaboration,Video Calls
Mentor_50,Digital Marketing Specialist,Mid,"['Content Marketing', 'PPC Advertising', 'Email Marketing']",None,"['SQL', 'HTML', 'Python']",Female,Mobile Development,Bachelors,5,Full-time,Lake Crystalberg,Technical Skills,Chat
Mentor_51,Data Analyst,Senior,"['Data Mining', 'Reporting', 'Data Visualization']",Python,"['R', 'JavaScript', 'Tableau']",Female,Manufacturing,High School,10,Freelance,Bretthaven,Project Collaboration,Email
Mentor_52,Web Designer,Mid,"['Wireframing', 'Graphic Design']",HTML,"['JavaScript', 'TypeScript', 'Ruby']",Non-binary,Retail,Masters,7,Freelance,Port Taylorhaven,Technical Skills,Video Calls
Mentor_53,DevOps Engineer,Mid,"['Kubernetes', 'Terraform']",Python,"['Perl', 'PowerShell', 'Groovy']",Non-binary,Data Science,Bachelors,4,Part-time,Jesusfurt,Project Collaboration,Video Calls
Mentor_54,Web Designer,Mid,"['UI/UX Design', 'SEO Optimization']",HTML,"['TypeScript', 'Ruby', 'Python']",Non-binary,Cloud Computing,Bachelors,6,Part-time,Lake Crystalberg,Project Collaboration,Video Calls
Mentor_55,SEO Specialist,Mid,['Off-Page SEO'],None,"['SQL', 'HTML', 'CSS']",Prefer not to say,Web Development,PhD,4,Part-time,South Roberto,Career Guidance,Chat
Mentor_56,Robotics Engineer,Lead,"['Embedded Systems', 'Control Systems']",Python,"['JavaScript', 'C++', 'Rust']",Prefer not to say,Cloud Computing,High School,20,Freelance,Griffithmouth,Career Guidance,Chat
Mentor_57,Game Developer,Lead,"['Unity', 'Unreal Engine']",C++,"['JavaScript', 'Java', 'Swift']",Prefer not to say,Cloud Computing,Bachelors,14,Part-time,Floresburgh,Technical Skills,Chat
Mentor_58,Web Designer,Mid,"['Wireframing', 'Responsive Design']",CSS,"['Ruby', 'TypeScript', 'JavaScript']",Male,Automotive,PhD,5,Part-time,Smithmouth,Technical Skills,Email
Mentor_59,SEO Specialist,Mid,"['Content Strategy', 'Analytics']",None,"['SQL', 'Python', 'HTML']",Prefer not to say,Media,Bachelors,7,Freelance,Andersonshire,Project Collaboration,Video Calls
Mentor_60,Technical Writer,Senior,['User Guides'],None,[],Prefer not to say,Cybersecurity,PhD,11,Full-time,New Jessica,Project Collaboration,Chat
Mentor_61,AR/VR Developer,Mid,"['3D Modeling', 'Virtual Reality']",C#,"['HTML5', 'Unity', 'Python']",Male,Transportation,Masters,5,Part-time,Port Julie,Project Collaboration,Video Calls
Mentor_62,DevOps Engineer,Mid,"['Azure', 'Kubernetes', 'AWS']",Go,"['Groovy', 'Perl', 'Ruby']",Female,Mobile Development,PhD,6,Full-time,Smithfort,Project Collaboration,Chat
Mentor_63,Mobile Developer,Senior,['Flutter'],Kotlin,"['Java', 'Dart', 'Objective-C']",Non-binary,Government,PhD,10,Full-time,Georgeside,Project Collaboration,Video Calls
Mentor_64,System Administrator,Mid,"['Backup Solutions', 'Windows Administration']",Bash,"['Ruby', 'PowerShell', 'Perl']",Female,Energy,Masters,5,Part-time,South Edward,Project Collaboration,Email
Mentor_65,Quality Assurance Engineer,Senior,"['Performance Testing', 'Test Planning']",None,"['C#', 'Python', 'Java']",Non-binary,Energy,Masters,11,Full-time,Port Stephanie,Technical Skills,Email
Mentor_66,Network Engineer,Mid,"['VPN', 'Network Security', 'Routing Protocols']",None,[],Non-binary,Web Development,High School,7,Freelance,New Nancyport,Technical Skills,Video Calls
Mentor_67,Technical Writer,Senior,['Content Management'],None,[],Male,Data Science,Masters,9,Part-time,East Jessicatown,Project Collaboration,Video Calls
Mentor_68,Cybersecurity Specialist,Mid,"['Penetration Testing', 'Incident Response']",Python,"['Go', 'Rust', 'Perl']",Non-binary,Gaming,Masters,6,Part-time,Rachelmouth,Project Collaboration,Video Calls
Mentor_69,Cloud Engineer,Senior,"['CloudFormation', 'Google Cloud Platform', 'AWS']",Go,"['Ruby', 'PHP', 'Rust']",Non-binary,Cloud Computing,PhD,8,Part-time,North Nicholasfurt,Project Collaboration,Chat
Mentor_70,Database Administrator,Mid,['Data Migration'],PL/SQL,"['MongoDB', 'MySQL', 'SQLite']",Female,Mobile Development,PhD,6,Freelance,North Dylanchester,Project Collaboration,Video Calls
Mentor_71,Cloud Engineer,Mid,"['AWS', 'Serverless Architecture']",Python,"['Ruby', 'Rust', 'PHP']",Prefer not to say,Energy,Masters,5,Freelance,New Nancyport,Project Collaboration,Chat
Mentor_72,IoT Developer,Senior,"['Data Analysis', 'Networking Protocols', 'Embedded Systems']",C,"['Rust', 'Java', 'JavaScript']",Prefer not to say,Energy,Bachelors,9,Part-time,Lorifort,Project Collaboration,Video Calls
Mentor_73,Cryptography Engineer,Lead,['Encryption Algorithms'],Python,"['Java', 'Rust', 'Go']",Male,Enterprise Software,High School,20,Full-time,Christinaview,Career Guidance,Email
Mentor_74,IT Project Manager,Mid,"['Risk Management', 'Project Planning', 'Agile Methodologies']",None,[],Male,Automotive,Bachelors,5,Full-time,Port Taylorhaven,Technical Skills,Email
Mentor_75,Cloud Engineer,Mid,"['Azure', 'Google Cloud Platform']",Java,"['Ruby', 'PHP', 'Rust']",Male,Cybersecurity,PhD,6,Freelance,Richardsonchester,Project Collaboration,Email
Mentor_76,Data Analyst,Senior,"['Statistical Analysis', 'Data Visualization', 'Data Mining']",Python,"['Excel', 'R', 'JavaScript']",Non-binary,Energy,High School,12,Full-time,New Patricia,Technical Skills,Video Calls
Mentor_77,Mobile Developer,Mid,"['Xamarin', 'Android Development']",Kotlin,"['C#', 'Objective-C', 'Rust']",Non-binary,Retail,Masters,6,Part-time,Smithmouth,Project Collaboration,Video Calls
Mentor_78,Mobile Developer,Mid,"['Android Development', 'React Native']",Swift,"['Rust', 'Java', 'C#']",Prefer not to say,Manufacturing,High School,7,Part-time,South Laurafurt,Technical Skills,Chat
Mentor_79,Database Administrator,Mid,['Database Design'],PL/SQL,"['PostgreSQL', 'Oracle', 'MySQL']",Non-binary,Cybersecurity,High School,4,Freelance,Liuburgh,Project Collaboration,Video Calls
Mentor_80,Cloud Engineer,Senior,['Google Cloud Platform'],Go,"['Scala', 'Clojure', 'Rust']",Male,Enterprise Software,Bachelors,10,Freelance,New Patricia,Career Guidance,Email
Mentor_81,Artificial Intelligence Engineer,Lead,['Deep Learning'],R,"['Java', 'Scala', 'Julia']",Non-binary,Web Development,Bachelors,13,Part-time,Nicolefort,Technical Skills,Video Calls
Mentor_82,Artificial Intelligence Engineer,Senior,"['Deep Learning', 'Neural Networks', 'Reinforcement Learning']",Python,"['C++', 'Swift', 'Scala']",Male,Enterprise Software,PhD,8,Part-time,Robertshire,Technical Skills,Email
Mentor_83,Robotics Engineer,Senior,['Control Systems'],Python,"['MATLAB', 'C++', 'JavaScript']",Male,Automotive,PhD,8,Freelance,South Laurafurt,Technical Skills,Chat
Mentor_84,Systems Architect,Mid,"['Integration Patterns', 'Enterprise Architecture']",C#,"['JavaScript', 'Python', 'Go']",Non-binary,Data Science,Bachelors,7,Part-time,Port Tammy,Career Guidance,Email
Mentor_85,IT Project Manager,Senior,['Risk Management'],None,[],Non-binary,Cloud Computing,High School,10,Part-time,New Nancyport,Technical Skills,Email
Mentor_86,Cybersecurity Specialist,Lead,"['Cryptography', 'Network Security', 'Penetration Testing']",C++,"['Rust', 'Ruby', 'Go']",Prefer not to say,Web Development,PhD,13,Full-time,Lisaburgh,Project Collaboration,Video Calls
Mentor_87,IT Consultant,Mid,"['Business Analysis', 'Risk Management']",None,[],Female,Energy,Masters,6,Full-time,Smithborough,Career Guidance,Email
Mentor_88,Game Designer,Mid,"['Gameplay Mechanics', 'Character Design']",None,"['HTML5', 'C#', 'C++']",Male,Cloud Computing,Bachelors,5,Part-time,Cruzhaven,Project Collaboration,Chat
Mentor_89,Machine Learning Engineer,Senior,['PyTorch'],Python,"['Java', 'C++', 'Julia']",Female,Transportation,PhD,8,Freelance,Smithfort,Project Collaboration,Video Calls
Mentor_90,Blockchain Developer,Senior,"['Blockchain Architecture', 'Cryptography']",JavaScript,"['Go', 'Rust', 'Python']",Male,Government,High School,12,Part-time,South Amandaside,Technical Skills,Email
Mentor_91,Data Engineer,Senior,['Kafka'],SQL,"['Go', 'Java', 'R']",Prefer not to say,Data Science,PhD,11,Freelance,Bryanberg,Career Guidance,Video Calls
Mentor_92,Data Analyst,Mid,"['Data Visualization', 'Statistical Analysis']",SQL,"['R', 'Tableau', 'Power BI']",Prefer not to say,Gaming,Masters,7,Part-time,New Melvinstad,Technical Skills,Video Calls
Mentor_93,AR/VR Developer,Senior,['Simulation'],C#,"['Python', 'Unity', 'JavaScript']",Non-binary,Cybersecurity,Masters,10,Full-time,Campbellland,Project Collaboration,Email
Mentor_94,Artificial Intelligence Engineer,Mid,"['Neural Networks', 'Computer Vision', 'Deep Learning']",R,"['Julia', 'C++', 'Scala']",Female,Mobile Development,PhD,6,Freelance,Tiffanyhaven,Career Guidance,Video Calls
Mentor_95,Digital Marketing Specialist,Lead,['Content Marketing'],None,"['CSS', 'JavaScript', 'SQL']",Male,Biotechnology,High School,15,Freelance,Lake Autumn,Project Collaboration,Chat
Mentor_96,Technical Support Specialist,Mid,"['Technical Documentation', 'Troubleshooting', 'Network Configuration']",None,[],Female,Gaming,PhD,5,Full-time,Lake Crystalberg,Technical Skills,Chat
Mentor_97,Network Engineer,Senior,"['VPN', 'Routing Protocols', 'Network Configuration']",None,[],Prefer not to say,Enterprise Software,Masters,10,Freelance,Edwardbury,Technical Skills,Video Calls
Mentor_98,SEO Specialist,Mid,['Content Strategy'],None,"['SQL', 'Python', 'HTML']",Male,Transportation,Masters,6,Freelance,West Christinamouth,Project Collaboration,Chat
Mentor_99,Cloud Engineer,Lead,"['Serverless Architecture', 'Azure']",Go,"['Ruby', 'PHP', 'Clojure']",Female,Energy,Masters,14,Full-time,Charleshaven,Career Guidance,Video Calls
Mentor_100,E-commerce Specialist,Mid,"['Payment Gateway Integration', 'SEO Optimization']",CSS,"['PHP', 'Ruby', 'JavaScript']",Non-binary,Cybersecurity,Bachelors,4,Full-time,New Melvinstad,Technical Skills,Chat
Mentor_101,Cybersecurity Specialist,Mid,['Cryptography'],C++,"['Perl', 'Java', 'Rust']",Prefer not to say,Cloud Computing,Masters,5,Full-time,North Dylanchester,Career Guidance,Email
Mentor_102,Network Engineer,Mid,"['Network Security', 'Routing Protocols', 'Network Configuration']",None,[],Male,Telecommunications,Bachelors,7,Part-time,South Laurafurt,Career Guidance,Chat
Mentor_103,Artificial Intelligence Engineer,Lead,"['Neural Networks', 'Computer Vision', 'Reinforcement Learning']",Python,"['Swift', 'Julia', 'Java']",Prefer not to say,Transportation,High School,13,Freelance,Port Stephanie,Technical Skills,Video Calls
Mentor_104,Back-End Developer,Mid,"['Django', 'Spring', 'Express.js']",Java,"['SQL', 'Go', 'Perl']",Female,Energy,PhD,6,Freelance,Hardinburgh,Career Guidance,Email
Mentor_105,Quality Assurance Engineer,Mid,['Test Automation'],None,"['JavaScript', 'Python', 'Java']",Prefer not to say,Transportation,Masters,6,Full-time,Rosalesfort,Project Collaboration,Email
Mentor_106,SEO Specialist,Mid,['Off-Page SEO'],None,"['HTML', 'JavaScript', 'CSS']",Prefer not to say,Retail,Masters,7,Full-time,Michaelport,Project Collaboration,Video Calls
Mentor_107,Robotics Engineer,Senior,"['Embedded Systems', 'Control Systems']",Python,"['C++', 'JavaScript', 'Rust']",Male,Mobile Development,Masters,10,Freelance,Rachelmouth,Technical Skills,Video Calls
Mentor_108,Game Designer,Senior,['Gameplay Mechanics'],None,"['Python', 'JavaScript', 'C++']",Non-binary,Data Science,High School,11,Freelance,West Jacob,Technical Skills,Video Calls
Mentor_109,E-commerce Specialist,Mid,"['Content Management', 'SEO Optimization', 'Digital Marketing']",HTML,"['JavaScript', 'PHP', 'Python']",Non-binary,Retail,High School,6,Freelance,Jennifertown,Project Collaboration,Video Calls
Mentor_110,Robotics Engineer,Mid,['Embedded Systems'],Python,"['JavaScript', 'C++', 'MATLAB']",Non-binary,Telecommunications,High School,6,Full-time,East Richard,Career Guidance,Video Calls
Mentor_111,Technical Support Specialist,Senior,"['Customer Service', 'Technical Documentation', 'Troubleshooting']",None,[],Non-binary,Transportation,Bachelors,9,Full-time,Lake James,Career Guidance,Video Calls
Mentor_112,System Administrator,Lead,"['Linux Administration', 'Networking']",Python,"['PowerShell', 'Perl', 'Go']",Female,Government,Bachelors,15,Full-time,Masonbury,Career Guidance,Email
Mentor_113,ERP Consultant,Mid,"['Business Process Reengineering', 'ERP Implementation', 'User Training']",None,"['SQL', 'PHP', 'Python']",Prefer not to say,Manufacturing,High School,7,Full-time,Lisaburgh,Project Collaboration,Email
Mentor_114,Systems Architect,Senior,['Integration Patterns'],C#,"['JavaScript', 'Python', 'Go']",Male,Cybersecurity,Masters,8,Full-time,Kerrton,Technical Skills,Chat
Mentor_115,Technical Writer,Mid,"['User Guides', 'Documentation', 'Content Management']",None,[],Female,Biotechnology,High School,6,Freelance,West Elizabeth,Career Guidance,Chat
Mentor_116,Machine Learning Engineer,Mid,['TensorFlow'],Python,"['Swift', 'Scala', 'Julia']",Female,Manufacturing,High School,6,Part-time,Lake Gregorymouth,Project Collaboration,Video Calls
Mentor_117,Digital Marketing Specialist,Mid,"['Social Media Marketing', 'Analytics']",None,"['CSS', 'Python', 'SQL']",Prefer not to say,Energy,Bachelors,7,Part-time,Griffithmouth,Career Guidance,Video Calls
Mentor_118,Blockchain Developer,Mid,"['Consensus Algorithms', 'Smart Contracts', 'Decentralized Applications']",JavaScript,"['Rust', 'Go', 'Java']",Non-binary,Energy,Bachelors,4,Full-time,Lorifort,Career Guidance,Video Calls
Mentor_119,UI/UX Researcher,Lead,['Usability Testing'],None,[],Female,Gaming,PhD,18,Freelance,South Amandaside,Technical Skills,Video Calls
Mentor_120,ERP Consultant,Senior,"['Business Process Reengineering', 'Data Migration']",None,"['Java', 'C#', 'SQL']",Male,Biotechnology,PhD,8,Freelance,Bryanberg,Project Collaboration,Video Calls
Mentor_121,SEO Specialist,Mid,"['Off-Page SEO', 'Analytics']",None,"['HTML', 'Python', 'SQL']",Male,Enterprise Software,Masters,7,Freelance,New Melvinstad,Career Guidance,Video Calls
Mentor_122,E-commerce Specialist,Lead,"['Digital Marketing', 'SEO Optimization', 'Content Management']",CSS,"['SQL', 'Python', 'Ruby']",Non-binary,Media,Masters,19,Full-time,Masonbury,Project Collaboration,Chat
Mentor_123,IT Consultant,Mid,['Business Analysis'],None,[],Prefer not to say,Energy,Bachelors,6,Freelance,Garciaside,Career Guidance,Video Calls
Mentor_124,Blockchain Developer,Senior,"['Consensus Algorithms', 'Blockchain Architecture']",Solidity,"['Rust', 'C++', 'Java']",Prefer not to say,Web Development,Masters,10,Part-time,North Nicholasfurt,Career Guidance,Video Calls
Mentor_125,Digital Marketing Specialist,Mid,"['Analytics', 'Content Marketing', 'PPC Advertising']",None,"['SQL', 'Python', 'CSS']",Female,Retail,Bachelors,7,Freelance,Georgeside,Career Guidance,Chat
Mentor_126,Cloud Engineer,Senior,"['Azure', 'CloudFormation']",Python,"['Ruby', 'Clojure', 'PHP']",Prefer not to say,Data Science,Bachelors,11,Freelance,Lake Hannahtown,Project Collaboration,Video Calls
Mentor_127,Data Analyst,Senior,"['Data Mining', 'Dashboard Creation', 'Reporting']",Python,"['Excel', 'JavaScript', 'Tableau']",Prefer not to say,Enterprise Software,Bachelors,10,Part-time,Liuburgh,Technical Skills,Email
Mentor_128,Digital Marketing Specialist,Mid,"['PPC Advertising', 'Analytics']",None,"['CSS', 'Python', 'SQL']",Prefer not to say,Government,Bachelors,7,Part-time,New Wyatt,Technical Skills,Chat
Mentor_129,DevOps Engineer,Lead,"['Docker', 'Terraform']",Go,"['Perl', 'PowerShell', 'Groovy']",Non-binary,Cybersecurity,High School,17,Freelance,East Richard,Project Collaboration,Email
Mentor_130,Network Engineer,Mid,"['Network Security', 'Firewall Management', 'VPN']",None,[],Prefer not to say,Media,PhD,4,Full-time,Port Rachelland,Career Guidance,Email
Mentor_131,AR/VR Content Creator,Mid,"['User Experience', 'Interactive Design', 'Simulation']",C#,"['CSS', 'Java', 'Python']",Male,Telecommunications,High School,4,Full-time,Charleshaven,Career Guidance,Email
Mentor_132,IT Consultant,Lead,['IT Governance'],None,[],Non-binary,Cloud Computing,Masters,13,Part-time,Robertshire,Project Collaboration,Chat
Mentor_133,Technical Support Specialist,Mid,['Network Configuration'],None,[],Male,Media,Bachelors,5,Freelance,Robertshire,Project Collaboration,Video Calls
Mentor_134,System Administrator,Lead,"['Windows Administration', 'Backup Solutions', 'Networking']",Bash,"['Perl', 'Java', 'Go']",Prefer not to say,Media,High School,19,Part-time,New Andrewtown,Career Guidance,Email
Mentor_135,Cybersecurity Specialist,Mid,"['Security Auditing', 'Penetration Testing']",C++,"['Go', 'Ruby', 'Java']",Non-binary,Biotechnology,High School,6,Part-time,Bryanberg,Technical Skills,Chat
Mentor_136,Network Engineer,Mid,"['Network Configuration', 'Routing Protocols', 'Firewall Management']",None,[],Male,Biotechnology,Masters,6,Freelance,Bretthaven,Career Guidance,Email
Mentor_137,Data Analyst,Lead,"['Dashboard Creation', 'Reporting', 'Data Mining']",SQL,"['Tableau', 'Excel', 'JavaScript']",Female,Mobile Development,PhD,16,Freelance,Thomasville,Technical Skills,Email
Mentor_138,Cloud Engineer,Lead,"['Azure', 'Serverless Architecture', 'CloudFormation']",Python,"['Rust', 'PHP', 'Scala']",Male,Enterprise Software,PhD,20,Full-time,Garciaside,Technical Skills,Email
Mentor_139,Quality Assurance Engineer,Lead,"['Test Automation', 'Regression Testing', 'Performance Testing']",None,"['C#', 'Ruby', 'Python']",Prefer not to say,Automotive,High School,13,Freelance,North Joseph,Project Collaboration,Email
Mentor_140,Full-Stack Developer,Lead,['React'],Python,"['SQL', 'HTML', 'GraphQL']",Male,Biotechnology,PhD,20,Full-time,Lake Autumn,Career Guidance,Chat
