User_ID,Position,Experience_Level,Expertise,Primary_Language,Secondary_Languages,Gender,Industry,Education,Years_of_Experience,Availability,Location,Mentoring_Preferences,Communication_Methods
Mentee_19,Data Scientist,Mid,['Scikit-learn'],R,"['Scala', 'Julia', 'MATLAB']",Male,Gaming,High School,6,Part-time,Lake Charlesburgh,Career Guidance,Video Calls
Mentee_20,Cybersecurity Specialist,Entry,"['Security Auditing', 'Network Security']",Python,"['Perl', 'Rust', 'Ruby']",Female,Web Development,Bachelors,1,Freelance,Andersonshire,Career Guidance,Video Calls
Mentee_21,Cybersecurity Specialist,Entry,['Incident Response'],C++,"['Java', 'Perl', 'Ruby']",Non-binary,Retail,Bachelors,1,Full-time,North Kennethfort,Technical Skills,Email
Mentee_22,Robotics Engineer,Entry,"['Embedded Systems', 'Sensors']",C,"['Java', 'C++', 'Rust']",Non-binary,Cybersecurity,Masters,1,Full-time,Lake Thomas,Career Guidance,Email
Mentee_23,Web Designer,Entry,"['SEO Optimization', 'Wireframing']",CSS,"['JavaScript', 'TypeScript', 'Python']",Non-binary,Gaming,Masters,0,Full-time,Campbellland,Project Collaboration,Chat
Mentee_24,E-commerce Specialist,Mid,['User Experience Design'],HTML,"['Python', 'PHP', 'JavaScript']",Female,Cloud Computing,High School,4,Part-time,Port Taylorhaven,Project Collaboration,Video Calls
Mentee_25,IT Consultant,Junior,['Change Management'],None,[],Male,Automotive,PhD,2,Part-time,Smithborough,Project Collaboration,Chat
Mentee_26,Mobile Developer,Mid,"['Xamarin', 'Android Development']",Kotlin,"['Rust', 'Objective-C', 'Java']",Male,Media,Bachelors,4,Freelance,Bretthaven,Career Guidance,Video Calls
Mentee_27,UI/UX Researcher,Entry,"['Customer Journey Mapping', 'Usability Testing']",None,[],Female,Data Science,Bachelors,1,Part-time,West Elizabeth,Career Guidance,Video Calls
Mentee_28,Quality Assurance Engineer,Mid,"['Test Automation', 'Test Planning', 'Manual Testing']",None,"['JavaScript', 'Ruby', 'Python']",Male,Manufacturing,High School,7,Freelance,Port Stephanie,Technical Skills,Chat
Mentee_29,Data Engineer,Junior,"['ETL Processes', 'Kafka']",SQL,"['C++', 'R', 'Scala']",Prefer not to say,Cloud Computing,Masters,2,Freelance,Lake Gregorymouth,Technical Skills,Email
Mentee_30,Back-End Developer,Mid,"['Express.js', 'Ruby on Rails']",Java,"['Go', 'SQL', 'C#']",Prefer not to say,Enterprise Software,High School,5,Full-time,Debrafort,Project Collaboration,Video Calls
Mentee_31,Digital Marketing Specialist,Junior,"['PPC Advertising', 'Analytics']",None,"['JavaScript', 'CSS', 'HTML']",Non-binary,Enterprise Software,PhD,3,Freelance,Rachelmouth,Technical Skills,Email
Mentee_32,AR/VR Content Creator,Mid,"['Interactive Design', 'Animation']",C#,"['CSS', 'HTML5', 'JavaScript']",Non-binary,Energy,Bachelors,6,Freelance,Perezville,Technical Skills,Chat
Mentee_33,Game Designer,Entry,['Game Balancing'],None,"['HTML5', 'Python', 'JavaScript']",Male,Enterprise Software,High School,1,Full-time,Lake Gregorymouth,Career Guidance,Email
Mentee_34,Data Analyst,Junior,"['Dashboard Creation', 'Data Mining', 'Reporting']",Python,"['JavaScript', 'R', 'Power BI']",Prefer not to say,Energy,PhD,3,Part-time,Campbellland,Technical Skills,Video Calls
Mentee_35,ERP Consultant,Entry,"['Change Management', 'Business Process Reengineering']",None,"['PHP', 'Java', 'SQL']",Male,Energy,Masters,1,Full-time,Annashire,Technical Skills,Video Calls
Mentee_36,IoT Developer,Entry,"['Embedded Systems', 'Sensor Integration']",C,"['C++', 'Go', 'Java']",Prefer not to say,Gaming,PhD,0,Freelance,Charleshaven,Project Collaboration,Video Calls
Mentee_37,Data Analyst,Junior,['Statistical Analysis'],SQL,"['Tableau', 'JavaScript', 'R']",Prefer not to say,Enterprise Software,High School,2,Freelance,Lake Crystalberg,Project Collaboration,Email
Mentee_38,Digital Marketing Specialist,Junior,['Social Media Marketing'],None,"['Python', 'HTML', 'SQL']",Female,Manufacturing,PhD,3,Full-time,Ramirezhaven,Technical Skills,Chat
Mentee_39,DevOps Engineer,Mid,['Terraform'],Go,"['Perl', 'Bash', 'Groovy']",Non-binary,Government,Masters,5,Full-time,Daltonton,Technical Skills,Video Calls
Mentee_40,Back-End Developer,Junior,['Ruby on Rails'],Java,"['SQL', 'Go', 'Perl']",Non-binary,Gaming,Masters,3,Full-time,South Roberto,Career Guidance,Video Calls
Mentee_41,Blockchain Developer,Entry,"['Consensus Algorithms', 'Decentralized Applications']",JavaScript,"['Rust', 'Java', 'C++']",Male,Web Development,PhD,0,Part-time,Lake Daniel,Project Collaboration,Chat
Mentee_42,Data Analyst,Entry,"['Statistical Analysis', 'Data Visualization']",Python,"['Excel', 'R', 'JavaScript']",Female,Biotechnology,Bachelors,0,Full-time,Floresburgh,Technical Skills,Chat
Mentee_43,AR/VR Content Creator,Mid,['Interactive Design'],C++,"['Python', 'JavaScript', 'Java']",Prefer not to say,Transportation,High School,7,Freelance,Floresburgh,Project Collaboration,Chat
Mentee_44,Cloud Engineer,Mid,['AWS'],Go,"['Rust', 'Clojure', 'Ruby']",Male,Cybersecurity,Bachelors,7,Full-time,Lake Charlesburgh,Technical Skills,Chat
Mentee_45,AR/VR Developer,Mid,"['Simulation', '3D Modeling', 'Augmented Reality']",C#,"['HTML5', 'Python', 'CSS']",Prefer not to say,Manufacturing,Masters,4,Freelance,Port Rachelland,Career Guidance,Email
Mentee_46,Game Designer,Junior,['Game Balancing'],None,"['C++', 'HTML5', 'C#']",Male,Cybersecurity,High School,2,Full-time,Jamesport,Project Collaboration,Chat
Mentee_47,Robotics Engineer,Junior,"['Embedded Systems', 'Machine Learning', 'Control Systems']",C,"['Rust', 'JavaScript', 'C++']",Male,Automotive,PhD,3,Full-time,Rosalesfort,Project Collaboration,Chat
Mentee_48,Machine Learning Engineer,Junior,"['Keras', 'Scikit-learn', 'TensorFlow']",R,"['Julia', 'Scala', 'Java']",Male,Energy,Masters,3,Part-time,South Laurafurt,Technical Skills,Email
Mentee_49,IT Consultant,Entry,['Technology Strategy'],None,[],Female,Government,High School,0,Full-time,North Nicholasfurt,Project Collaboration,Video Calls
Mentee_50,UI/UX Researcher,Entry,['Usability Testing'],None,[],Prefer not to say,Media,High School,0,Freelance,Robertshire,Career Guidance,Video Calls
Mentee_51,Data Analyst,Entry,['Dashboard Creation'],SQL,"['Excel', 'R', 'Power BI']",Male,Web Development,Masters,0,Part-time,Lake Gregorymouth,Project Collaboration,Email
Mentee_52,IT Consultant,Mid,['Change Management'],None,[],Male,Automotive,Bachelors,5,Full-time,Annashire,Project Collaboration,Video Calls
Mentee_53,Data Engineer,Mid,['ETL Processes'],SQL,"['Scala', 'C++', 'Java']",Prefer not to say,Government,PhD,7,Part-time,Hardinburgh,Career Guidance,Video Calls
Mentee_54,Mobile Developer,Junior,"['iOS Development', 'Android Development', 'Flutter']",Swift,"['Rust', 'C#', 'Java']",Male,Government,Bachelors,2,Full-time,Hardinburgh,Technical Skills,Chat
Mentee_55,System Administrator,Mid,"['Virtualization', 'Backup Solutions', 'Linux Administration']",Python,"['Perl', 'Java', 'PowerShell']",Female,Cybersecurity,High School,5,Freelance,New Zacharyside,Technical Skills,Chat
Mentee_56,Web Designer,Junior,"['Responsive Design', 'Graphic Design', 'Wireframing']",CSS,"['JavaScript', 'PHP', 'Python']",Non-binary,Telecommunications,Bachelors,2,Full-time,Richardsonchester,Project Collaboration,Video Calls
Mentee_57,Game Developer,Entry,['Game Design'],C++,"['Swift', 'HTML5', 'JavaScript']",Male,Data Science,PhD,0,Full-time,Martinezville,Project Collaboration,Email
Mentee_58,Technical Support Specialist,Junior,['Troubleshooting'],None,[],Prefer not to say,Enterprise Software,Bachelors,3,Part-time,Jennifertown,Career Guidance,Chat
Mentee_59,Artificial Intelligence Engineer,Junior,"['Reinforcement Learning', 'Computer Vision']",R,"['Java', 'C++', 'Julia']",Prefer not to say,Web Development,PhD,3,Freelance,Hardinburgh,Technical Skills,Chat
Mentee_60,Game Developer,Mid,"['Graphics Programming', 'Unity', 'AI in Games']",C#,"['Swift', 'HTML5', 'JavaScript']",Male,Telecommunications,PhD,5,Full-time,Hardinburgh,Project Collaboration,Video Calls
Mentee_61,Data Scientist,Entry,"['NumPy', 'TensorFlow', 'Scikit-learn']",R,"['Julia', 'SQL', 'JavaScript']",Non-binary,Mobile Development,High School,0,Full-time,Charleshaven,Career Guidance,Email
Mentee_62,Back-End Developer,Entry,['Flask'],Ruby,"['PHP', 'SQL', 'Go']",Non-binary,Telecommunications,High School,0,Freelance,Andersonshire,Project Collaboration,Video Calls
Mentee_63,Data Scientist,Junior,['Scikit-learn'],R,"['JavaScript', 'SQL', 'Scala']",Male,Transportation,Bachelors,2,Full-time,South Kimberly,Project Collaboration,Video Calls
Mentee_64,Machine Learning Engineer,Mid,['PyTorch'],R,"['C++', 'Julia', 'Swift']",Non-binary,Cybersecurity,Bachelors,4,Freelance,North Samantha,Project Collaboration,Video Calls
Mentee_65,E-commerce Specialist,Junior,"['Content Management', 'Digital Marketing', 'User Experience Design']",HTML,"['SQL', 'JavaScript', 'Ruby']",Prefer not to say,Energy,High School,2,Freelance,South Amandaside,Project Collaboration,Video Calls
Mentee_66,Machine Learning Engineer,Entry,"['Scikit-learn', 'XGBoost', 'TensorFlow']",R,"['C++', 'Java', 'Julia']",Non-binary,Automotive,Masters,1,Freelance,Alejandroport,Project Collaboration,Video Calls
Mentee_67,Database Administrator,Entry,"['Backup and Recovery', 'Database Design']",PL/SQL,"['PostgreSQL', 'SQLite', 'MySQL']",Non-binary,Mobile Development,High School,1,Freelance,West Cynthiastad,Project Collaboration,Email
Mentee_68,Mobile Developer,Junior,"['React Native', 'Flutter', 'Xamarin']",Kotlin,"['Objective-C', 'Rust', 'Dart']",Non-binary,Manufacturing,Masters,2,Freelance,Carrillomouth,Project Collaboration,Email
Mentee_69,AR/VR Content Creator,Junior,"['Animation', 'Simulation']",C++,"['Python', 'HTML5', 'Java']",Prefer not to say,Manufacturing,Bachelors,2,Part-time,South Patrick,Career Guidance,Video Calls
Mentee_70,Data Analyst,Entry,['Reporting'],SQL,"['R', 'Power BI', 'Excel']",Non-binary,Biotechnology,PhD,1,Freelance,Lake Autumn,Career Guidance,Email
Mentee_71,IoT Developer,Mid,"['Cloud Computing', 'Embedded Systems']",C,"['C++', 'Java', 'JavaScript']",Prefer not to say,Data Science,Masters,4,Part-time,Lake Thomas,Career Guidance,Chat
Mentee_72,UI/UX Researcher,Entry,"['Usability Testing', 'Customer Journey Mapping', 'A/B Testing']",None,[],Male,Web Development,High School,1,Part-time,Bryanberg,Technical Skills,Chat
Mentee_73,SEO Specialist,Junior,"['Analytics', 'Keyword Research']",None,"['JavaScript', 'CSS', 'Python']",Prefer not to say,Biotechnology,PhD,2,Full-time,New Annton,Project Collaboration,Email
Mentee_74,Technical Support Specialist,Junior,"['Troubleshooting', 'Technical Documentation']",None,[],Female,Automotive,Bachelors,2,Part-time,New Andrewtown,Project Collaboration,Chat
Mentee_75,Robotics Engineer,Mid,['Sensors'],C,"['Java', 'Rust', 'C++']",Non-binary,Enterprise Software,Bachelors,6,Full-time,Hardinburgh,Technical Skills,Video Calls
Mentee_76,Technical Writer,Junior,"['Documentation', 'API Documentation']",None,[],Prefer not to say,Transportation,PhD,2,Full-time,Smithfort,Career Guidance,Video Calls
Mentee_77,Technical Writer,Junior,['Technical Manuals'],None,[],Female,Energy,High School,3,Freelance,Daltonton,Project Collaboration,Chat
Mentee_78,Game Designer,Junior,"['Character Design', 'Game Balancing']",None,"['Python', 'JavaScript', 'C++']",Female,Automotive,PhD,2,Part-time,Port Tammy,Technical Skills,Video Calls
Mentee_79,Robotics Engineer,Entry,"['Embedded Systems', 'Machine Learning']",Python,"['MATLAB', 'C++', 'Java']",Female,Enterprise Software,PhD,0,Freelance,South Kimberly,Career Guidance,Chat
Mentee_80,AR/VR Content Creator,Entry,"['Simulation', 'Animation', '3D Modeling']",C#,"['JavaScript', 'Java', 'HTML5']",Female,Web Development,Bachelors,0,Full-time,New Annton,Career Guidance,Video Calls
Mentee_81,Game Designer,Junior,['Game Balancing'],None,"['Python', 'C++', 'JavaScript']",Prefer not to say,Data Science,High School,2,Freelance,South Laurafurt,Career Guidance,Chat
Mentee_82,Mobile Developer,Entry,"['React Native', 'Flutter', 'Xamarin']",Swift,"['C#', 'Dart', 'Objective-C']",Male,Biotechnology,High School,1,Part-time,West Elizabeth,Technical Skills,Video Calls
Mentee_83,Network Engineer,Mid,['Firewall Management'],None,[],Prefer not to say,Biotechnology,High School,6,Part-time,Bretthaven,Career Guidance,Email
Mentee_84,Technical Support Specialist,Mid,"['Remote Support', 'Troubleshooting']",None,[],Prefer not to say,Manufacturing,High School,5,Full-time,Bretthaven,Technical Skills,Email
Mentee_85,DevOps Engineer,Entry,['Terraform'],Go,"['Groovy', 'Ruby', 'Bash']",Female,Web Development,Masters,0,Full-time,Jamesport,Career Guidance,Video Calls
Mentee_86,DevOps Engineer,Junior,"['Terraform', 'Azure']",Python,"['PowerShell', 'Bash', 'Ruby']",Prefer not to say,Cybersecurity,Bachelors,3,Full-time,East Jessicatown,Project Collaboration,Video Calls
Mentee_87,Quality Assurance Engineer,Mid,"['Manual Testing', 'Performance Testing']",None,"['Ruby', 'JavaScript', 'C#']",Non-binary,Media,Bachelors,7,Freelance,North Kennethfort,Technical Skills,Video Calls
Mentee_88,IT Project Manager,Entry,['Risk Management'],None,[],Male,Telecommunications,High School,0,Part-time,Robertshire,Career Guidance,Video Calls
Mentee_89,IT Consultant,Mid,['IT Governance'],None,[],Non-binary,Telecommunications,High School,5,Full-time,New Jessica,Project Collaboration,Chat
Mentee_90,DevOps Engineer,Junior,['Docker'],Go,"['Bash', 'Groovy', 'Perl']",Male,Transportation,High School,2,Freelance,Michaelport,Project Collaboration,Chat
Mentee_91,SEO Specialist,Junior,"['Analytics', 'On-Page SEO']",None,"['JavaScript', 'Python', 'CSS']",Male,Automotive,Bachelors,3,Freelance,East Andrew,Technical Skills,Email
Mentee_92,Quality Assurance Engineer,Junior,"['Manual Testing', 'Performance Testing']",None,"['Java', 'JavaScript', 'C#']",Prefer not to say,Gaming,Bachelors,3,Full-time,Port Rachelland,Project Collaboration,Chat
Mentee_93,Digital Marketing Specialist,Junior,['Analytics'],None,"['Python', 'SQL', 'HTML']",Male,Cybersecurity,PhD,2,Full-time,Griffithmouth,Career Guidance,Video Calls
Mentee_94,AR/VR Content Creator,Mid,['Simulation'],C#,"['HTML5', 'JavaScript', 'Python']",Non-binary,Data Science,High School,6,Part-time,Garciaside,Project Collaboration,Video Calls
Mentee_95,AR/VR Developer,Entry,"['Augmented Reality', 'Simulation', 'Game Development']",C++,"['Unity', 'Python', 'JavaScript']",Prefer not to say,Energy,PhD,1,Part-time,Ramirezhaven,Technical Skills,Email
Mentee_96,Game Developer,Entry,['Game Design'],C#,"['Swift', 'Java', 'HTML5']",Non-binary,Web Development,High School,0,Part-time,Robertsfurt,Technical Skills,Video Calls
Mentee_97,Game Developer,Junior,['Unity'],C++,"['Python', 'Java', 'HTML5']",Male,Biotechnology,Bachelors,2,Part-time,Nguyenview,Career Guidance,Email
Mentee_98,Technical Support Specialist,Junior,"['Customer Service', 'Technical Documentation']",None,[],Female,Biotechnology,High School,3,Freelance,Floresburgh,Career Guidance,Video Calls
Mentee_99,Machine Learning Engineer,Junior,"['Keras', 'TensorFlow']",Python,"['Java', 'Julia', 'Swift']",Male,Energy,PhD,3,Part-time,Edwardbury,Technical Skills,Chat
Mentee_100,Robotics Engineer,Junior,"['Machine Learning', 'Control Systems', 'Sensors']",C,"['MATLAB', 'Java', 'JavaScript']",Male,Media,Masters,3,Full-time,Rachelmouth,Career Guidance,Video Calls
Mentee_101,Data Engineer,Mid,"['Big Data Technologies', 'ETL Processes']",SQL,"['Scala', 'C++', 'Java']",Prefer not to say,Data Science,PhD,6,Part-time,Bryanberg,Career Guidance,Video Calls
Mentee_102,Digital Marketing Specialist,Mid,"['Email Marketing', 'Content Marketing', 'Social Media Marketing']",None,"['JavaScript', 'HTML', 'SQL']",Prefer not to say,Data Science,High School,6,Part-time,New Lawrencetown,Career Guidance,Chat
Mentee_103,Cryptography Engineer,Junior,"['Secure Communication', 'Key Management']",C,"['Rust', 'Go', 'C++']",Male,Media,Bachelors,3,Freelance,Port Stephanie,Technical Skills,Email
Mentee_104,Data Analyst,Junior,"['Dashboard Creation', 'Data Visualization', 'Data Mining']",SQL,"['Excel', 'Tableau', 'JavaScript']",Female,Media,High School,3,Part-time,Lorifort,Project Collaboration,Email
Mentee_105,Web Designer,Junior,"['Graphic Design', 'Wireframing']",CSS,"['JavaScript', 'PHP', 'Ruby']",Male,Automotive,Bachelors,2,Freelance,Lake Thomas,Career Guidance,Email
Mentee_106,Business Analyst,Entry,"['Project Management', 'Requirements Gathering', 'Data Analysis']",Python,"['C#', 'JavaScript', 'PHP']",Male,Web Development,Masters,0,Part-time,North Dylanchester,Project Collaboration,Chat
Mentee_107,Full-Stack Developer,Junior,"['Node.js', 'Django']",Python,"['TypeScript', 'HTML', 'CSS']",Male,Manufacturing,PhD,2,Part-time,Masonbury,Technical Skills,Chat
Mentee_108,Cloud Engineer,Mid,"['Google Cloud Platform', 'CloudFormation', 'Azure']",Go,"['Clojure', 'Ruby', 'PHP']",Non-binary,Government,Masters,4,Freelance,Rachelmouth,Career Guidance,Video Calls
Mentee_109,System Administrator,Entry,"['Windows Administration', 'Linux Administration', 'Networking']",Bash,"['Ruby', 'PowerShell', 'Perl']",Male,Cloud Computing,High School,0,Freelance,New Wyatt,Career Guidance,Chat
Mentee_110,ERP Consultant,Mid,"['User Training', 'ERP Implementation']",None,"['Python', 'Java', 'C#']",Prefer not to say,Web Development,PhD,7,Part-time,Smithborough,Project Collaboration,Chat
Mentee_111,E-commerce Specialist,Junior,"['User Experience Design', 'SEO Optimization']",CSS,"['PHP', 'SQL', 'JavaScript']",Female,Mobile Development,Bachelors,2,Part-time,Lake James,Technical Skills,Chat
Mentee_112,Full-Stack Developer,Entry,"['Node.js', 'Angular']",JavaScript,"['SQL', 'HTML', 'CSS']",Prefer not to say,Telecommunications,Masters,1,Full-time,Debrafort,Technical Skills,Email
Mentee_113,ERP Consultant,Junior,"['Business Process Reengineering', 'Change Management']",None,"['SQL', 'Java', 'C#']",Female,Web Development,High School,3,Full-time,Hardinburgh,Career Guidance,Email
Mentee_114,Game Developer,Mid,"['Graphics Programming', 'AI in Games', 'Unity']",C#,"['Java', 'Python', 'HTML5']",Female,Government,Masters,7,Freelance,Tiffanyhaven,Technical Skills,Video Calls
Mentee_115,Data Engineer,Junior,"['Hadoop', 'ETL Processes']",SQL,"['Java', 'R', 'Go']",Prefer not to say,Cybersecurity,Masters,3,Part-time,South Kimberly,Technical Skills,Video Calls
Mentee_116,Data Analyst,Entry,['Dashboard Creation'],SQL,"['Excel', 'R', 'Tableau']",Prefer not to say,Automotive,High School,0,Full-time,North Kennethfort,Project Collaboration,Chat
Mentee_117,Data Analyst,Entry,"['Statistical Analysis', 'Data Mining']",Python,"['Power BI', 'Excel', 'JavaScript']",Female,Mobile Development,PhD,1,Part-time,Rosalesfort,Project Collaboration,Email
Mentee_118,Front-End Developer,Junior,"['Bootstrap', 'Vue.js']",TypeScript,"['CSS', 'Less', 'HTML']",Prefer not to say,Enterprise Software,Masters,2,Full-time,Nortonfurt,Project Collaboration,Chat
Mentee_119,Data Scientist,Entry,['Pandas'],Python,"['SQL', 'MATLAB', 'Julia']",Female,Energy,PhD,0,Part-time,Robertsfurt,Technical Skills,Video Calls
Mentee_120,Cybersecurity Specialist,Entry,"['Security Auditing', 'Cryptography', 'Penetration Testing']",C++,"['Rust', 'Go', 'Ruby']",Non-binary,Biotechnology,Bachelors,0,Full-time,New Patricia,Project Collaboration,Email
Mentee_121,ERP Consultant,Mid,"['Change Management', 'ERP Implementation', 'Data Migration']",None,"['Python', 'Java', 'SQL']",Prefer not to say,Mobile Development,Bachelors,6,Part-time,New Patricia,Career Guidance,Video Calls
Mentee_122,Data Scientist,Entry,"['Scikit-learn', 'Machine Learning', 'Pandas']",R,"['MATLAB', 'Scala', 'Julia']",Female,Energy,Masters,0,Full-time,Nortonfurt,Technical Skills,Chat
Mentee_123,Artificial Intelligence Engineer,Mid,['Natural Language Processing'],Python,"['Swift', 'Julia', 'Java']",Male,Telecommunications,Bachelors,7,Freelance,Ayalaland,Career Guidance,Chat
Mentee_124,Cryptography Engineer,Junior,"['Secure Communication', 'Blockchain']",Python,"['Go', 'Rust', 'Java']",Non-binary,Biotechnology,Masters,2,Part-time,Lake Hannahtown,Project Collaboration,Video Calls
Mentee_125,UI/UX Researcher,Mid,"['A/B Testing', 'User Personas']",None,[],Female,Cloud Computing,High School,4,Full-time,North Annaville,Technical Skills,Email
Mentee_126,Game Developer,Entry,"['Game Design', 'Unity', 'AI in Games']",C#,"['JavaScript', 'Java', 'Python']",Prefer not to say,Data Science,Bachelors,1,Full-time,East Angelafort,Career Guidance,Video Calls
Mentee_127,Mobile Developer,Junior,['Android Development'],Swift,"['Java', 'Dart', 'C#']",Non-binary,Government,PhD,3,Full-time,Lake Hannahtown,Career Guidance,Video Calls
Mentee_128,IT Consultant,Mid,['Business Analysis'],None,[],Female,Automotive,PhD,5,Full-time,New Patricia,Career Guidance,Email
Mentee_129,E-commerce Specialist,Junior,['Payment Gateway Integration'],HTML,"['Python', 'JavaScript', 'PHP']",Non-binary,Media,Masters,3,Part-time,Bryanberg,Career Guidance,Video Calls
Mentee_130,Technical Writer,Junior,['Documentation'],None,[],Prefer not to say,Retail,Masters,3,Part-time,West Cynthiastad,Career Guidance,Video Calls
Mentee_131,Data Scientist,Mid,"['Machine Learning', 'NumPy', 'Scikit-learn']",R,"['Julia', 'Scala', 'JavaScript']",Non-binary,Cybersecurity,High School,7,Full-time,Smithborough,Career Guidance,Email
Mentee_132,Data Analyst,Junior,['Statistical Analysis'],SQL,"['Excel', 'Tableau', 'R']",Non-binary,Enterprise Software,High School,3,Freelance,West Samanthaport,Project Collaboration,Video Calls
Mentee_133,DevOps Engineer,Mid,"['Kubernetes', 'AWS', 'Docker']",Go,"['PowerShell', 'Groovy', 'Bash']",Non-binary,Telecommunications,High School,4,Freelance,East Andrew,Project Collaboration,Video Calls
Mentee_134,Game Developer,Junior,['Graphics Programming'],C#,"['HTML5', 'JavaScript', 'Swift']",Prefer not to say,Media,High School,3,Full-time,Lorifort,Career Guidance,Chat
Mentee_135,ERP Consultant,Mid,"['ERP Implementation', 'Change Management', 'Business Process Reengineering']",None,"['PHP', 'C#', 'SQL']",Prefer not to say,Transportation,High School,4,Part-time,North Kennethfort,Technical Skills,Video Calls
Mentee_136,Data Engineer,Junior,"['Apache Spark', 'ETL Processes', 'Kafka']",SQL,"['C++', 'R', 'Go']",Male,Enterprise Software,Masters,2,Full-time,Bryanberg,Project Collaboration,Video Calls
Mentee_137,Quality Assurance Engineer,Mid,"['Test Automation', 'Performance Testing']",None,"['Java', 'C#', 'Python']",Non-binary,Mobile Development,High School,7,Freelance,Waltersmouth,Project Collaboration,Email
Mentee_138,DevOps Engineer,Junior,"['Terraform', 'Kubernetes']",Go,"['Perl', 'Groovy', 'Bash']",Male,Automotive,PhD,3,Part-time,Martinezville,Technical Skills,Video Calls
Mentee_139,Mobile Developer,Entry,['Android Development'],Kotlin,"['Rust', 'Dart', 'Java']",Non-binary,Gaming,PhD,0,Freelance,Masonbury,Project Collaboration,Chat
Mentee_140,UI/UX Researcher,Mid,"['User Research', 'Usability Testing']",None,[],Prefer not to say,Web Development,High School,6,Full-time,South Laurafurt,Project Collaboration,Video Calls
Mentee_141,Artificial Intelligence Engineer,Entry,"['Neural Networks', 'Natural Language Processing']",Python,"['C++', 'Swift', 'Scala']",Female,Data Science,Bachelors,1,Freelance,Richardsonchester,Technical Skills,Chat
